0,u,v,w
-20_-8_-12',0.0552157111861764,0.109519723039953,0.103752484126629
-20_-8_-11',0.0480309075584626,0.0939036651433155,0.0890780592034357
-20_-8_-10',0.0331666289443586,0.0936151630090402,0.0833054133391131
-20_-8_-9',0.0378503352693885,0.0697082787149639,0.0566274229560028
-20_-8_-8',0.0405784269662814,0.0632394577238433,0.0519852859701729
-20_-8_-7',0.0283155593483475,0.0529396944180676,0.0419662934622921
-20_-8_-6',0.0211422628275414,0.0464124139650516,0.0360253375973409
-20_-8_-5',0.0224107215834091,0.0446764473061384,0.0368251459027882
-20_-8_-4',0.0274396253164536,0.0440937656528291,0.0329540477204148
-20_-8_-3',0.0318892113856347,0.0430145222225318,0.0312601937776535
-20_-8_-2',0.0302973165365446,0.0396968395913598,0.0330320515447487
-20_-8_-1',0.0369600095039339,0.0393741033399666,0.030449970979664
-20_-8_0',0.0372143875358185,0.0365511981579957,0.0311165500218811
-20_-8_1',0.0375799797036069,0.0378200009370538,0.0301381195614561
-20_-8_2',0.0417890597545039,0.0363204873085777,0.0279532093813855
-20_-8_3',0.0442584643316164,0.0387821276680976,0.0333716459936956
-20_-8_4',0.0481956665395617,0.0409058545296382,0.0354207040801218
-20_-8_5',0.0633313666407355,0.0454561487025008,0.0406844175992568
-20_-8_6',0.0710729514085375,0.0528861502813887,0.0494398992044233
-20_-8_7',0.0822194222547025,0.0596377800193229,0.0522697420463232
-20_-8_8',0.0936211693950711,0.072490514859751,0.0633388056951897
-20_-8_9',0.0891124532795186,0.0880877701791,0.0675855371849919
-20_-8_10',0.126791927268705,0.161549532238076,0.156318964806703
-20_-8_11',0.0789882910793378,0.151739385367267,0.103320221262954
-20_-8_12',0.0878480561244369,0.196970547199226,0.117017057360906
-20_-8_13',0.121165299559259,0.331442053128926,0.167374610257721
-20_-8_14',0.326293843797274,0.503488959660487,0.412360755285951
-20_-7_-15',0.0827370365290706,0.172691043421652,0.175788938834472
-20_-7_-14',0.063093349087835,0.12327860666169,0.119001670671935
-20_-7_-13',0.0843764079014109,0.137717471722638,0.120072911594298
-20_-7_-12',0.0834358630150524,0.136206574163773,0.122640097723571
-20_-7_-11',0.0545028657539656,0.11696506969607,0.0954253813552739
-20_-7_-10',0.0449136248657624,0.0870427885662863,0.0737608359902985
-20_-7_-9',0.0300926445331325,0.0723676143891168,0.0567987977343348
-20_-7_-8',0.0305511708804179,0.0613906200839342,0.050242488762266
-20_-7_-7',0.0253259099434891,0.0528823198725378,0.0418027030078923
-20_-7_-6',0.0271899421670733,0.0484257089618318,0.0393206581072014
-20_-7_-5',0.023165038478361,0.0461317097334503,0.0362819407977204
-20_-7_-4',0.0268242366445172,0.0473979989419225,0.0359221751947005
-20_-7_-3',0.0316000455726982,0.0437848353891708,0.0301667263256572
-20_-7_-2',0.0326335741982984,0.0425251377022788,0.0309023493017285
-20_-7_-1',0.0319320363662805,0.0414974218872386,0.0285466284815639
-20_-7_0',0.0329304625703539,0.0368794767486981,0.02930953070047
-20_-7_1',0.0342057934280791,0.0363387008935465,0.0291356250929135
-20_-7_2',0.0375705419193834,0.0359385596735802,0.0277332249617098
-20_-7_3',0.0434647706566845,0.0377751561051079,0.0340145259525144
-20_-7_4',0.0442716695971083,0.0387984003407396,0.0335597760982846
-20_-7_5',0.052794420897619,0.046339199856856,0.0391980663243115
-20_-7_6',0.0698854656500983,0.0516855624417243,0.0450783507703178
-20_-7_7',0.0835831710168035,0.0618247097819248,0.0505429379407153
-20_-7_8',0.0854852987157639,0.0712492106621841,0.0489363119621878
-20_-7_9',0.0926030965269241,0.0780640791072709,0.0634914442631244
-20_-7_10',0.0996673313942889,0.120091088891677,0.099089695600821
-20_-7_11',0.0975786409510047,0.141904164177727,0.123047098894623
-20_-7_12',0.135293635604387,0.160646277667989,0.140100464261798
-20_-7_13',0.262572309567249,0.472087551032413,0.183312836514389
-20_-7_14',0.23468810592435,0.238313299556076,0.307285334378761
-20_-6_-15',0.0531428308418913,0.136805773796339,0.133705967586687
-20_-6_-14',0.0720242337838861,0.150735693359092,0.122982584302921
-20_-6_-13',0.0970000565957454,0.140852982551479,0.119665311717691
-20_-6_-12',0.0669368031850979,0.13646599745328,0.114590387717838
-20_-6_-11',0.0528857678440575,0.120251935493124,0.0918757377040033
-20_-6_-10',0.0391177513120655,0.0933421189392811,0.0767295550786148
-20_-6_-9',0.0449329888432235,0.0726719706270775,0.0600531616674015
-20_-6_-8',0.0282893272087987,0.0617125874605043,0.0488474301518986
-20_-6_-7',0.0258010190945699,0.0543346522334994,0.0414878632735533
-20_-6_-6',0.0288383571099336,0.0558276331094837,0.0414019608491986
-20_-6_-5',0.0248278836192816,0.0464866264215272,0.035390229491866
-20_-6_-4',0.023730126039157,0.0477289403838529,0.0342372372987273
-20_-6_-3',0.028119673143168,0.0444871967319756,0.0302082197710061
-20_-6_-2',0.0292668059612911,0.043027195574537,0.0295773084310091
-20_-6_-1',0.028253624696344,0.0389528229580967,0.0301297221130547
-20_-6_0',0.0283105230446009,0.0386873307113499,0.0269106394943427
-20_-6_1',0.033717114745942,0.038892820238033,0.0301886346424135
-20_-6_2',0.0348400858747601,0.0392715205293705,0.0301564526082562
-20_-6_3',0.042313701187379,0.0404229481431773,0.0319319160046347
-20_-6_4',0.0447141084304332,0.0407642385714789,0.0332893634763831
-20_-6_5',0.0514457909611071,0.0445608185712894,0.0376680239341284
-20_-6_6',0.0605759496629343,0.0511338119873733,0.0426826996062756
-20_-6_7',0.0751255501204739,0.0579935944594968,0.0471259587943459
-20_-6_8',0.0830970333691355,0.0713853133369181,0.0588220820564831
-20_-6_9',0.0930092729312981,0.0665591517014172,0.0554596244106999
-20_-6_10',0.0810170471287136,0.108280901379922,0.0784823729470694
-20_-6_11',0.0773171731127361,0.135857889270616,0.0877854113898864
-20_-6_12',0.098682990181816,0.197067156704365,0.104581544300879
-20_-6_13',0.194750301668572,0.388916443468259,0.168645426857653
-20_-6_14',0.567662006123502,0.412270966603249,0.535855290745577
-20_-5_-15',0.0575317850727588,0.154042977963971,0.136221150725264
-20_-5_-14',0.060571983464432,0.14101275176711,0.114715074095267
-20_-5_-13',0.0857828908747843,0.127986987165907,0.117209216152572
-20_-5_-12',0.0518903012089657,0.119975432017423,0.0956357411984953
-20_-5_-11',0.0558939170991871,0.100832568113431,0.0861777290741401
-20_-5_-10',0.035309215781307,0.0875128255856123,0.0722087481929043
-20_-5_-9',0.0327326784336156,0.0731351824764305,0.0583016101597848
-20_-5_-8',0.0257889802317652,0.0629411148618332,0.0467571059285331
-20_-5_-7',0.0298181769687703,0.0576325144929815,0.0428150709565598
-20_-5_-6',0.0278741022761188,0.0525003062162349,0.0385602475595396
-20_-5_-5',0.024590516912062,0.0471001559284967,0.0350552153018963
-20_-5_-4',0.026600463004477,0.0459458171149991,0.0337547386221406
-20_-5_-3',0.0239374091162254,0.0441369157035453,0.0314148315285577
-20_-5_-2',0.0311900121346537,0.0471212557379801,0.0323720446433808
-20_-5_-1',0.0259473984098438,0.0425014623650252,0.0289804235626993
-20_-5_0',0.0303604719941675,0.0420384185412439,0.0323253382177568
-20_-5_1',0.0308364222868336,0.0394828893215515,0.0292993691791147
-20_-5_2',0.0335390667508959,0.0401099259129639,0.0278396226723792
-20_-5_3',0.040254531433759,0.0414969610774834,0.0332129763033214
-20_-5_4',0.0365314777846954,0.0402759733188307,0.0303285576377366
-20_-5_5',0.0415085752859784,0.046546100359474,0.0342391476038881
-20_-5_6',0.0577739909808541,0.0531190846514355,0.0415793568041389
-20_-5_7',0.0683077556340708,0.0618521014042134,0.0478538934588372
-20_-5_8',0.0794255612387788,0.0691218392060348,0.051992825598874
-20_-5_9',0.0795908992138608,0.0815155182095713,0.0593388765615263
-20_-5_10',0.109691243943357,0.111540352868496,0.0779911101415034
-20_-5_11',0.061949743699052,0.111120287122577,0.0765798150494152
-20_-5_12',0.607872107086176,0.655752087489558,0.775986675337781
-20_-5_13',1.2177030374469,2.59214476961968,1.07078921673066
-20_-5_14',0.550794335482855,0.890433961616469,0.392014285453987
-20_-4_-15',0.0511114814072823,0.130558080283063,0.112719787238567
-20_-4_-14',0.0666072833685994,0.140887466594711,0.121774866326165
-20_-4_-13',0.0584825732111973,0.118625000379136,0.110202994832987
-20_-4_-12',0.0500579146319447,0.107825905849431,0.0912141242402774
-20_-4_-11',0.0826226102191732,0.0995387065998457,0.0866670415854034
-20_-4_-10',0.0440462989104941,0.0829668132082821,0.0722516371925716
-20_-4_-9',0.0376235814145412,0.0684975125007427,0.0531116653711577
-20_-4_-8',0.0300950393372791,0.059854178578875,0.0477555591038184
-20_-4_-7',0.037228129325258,0.0554462704684365,0.0402327213969915
-20_-4_-6',0.0272914343886822,0.054577462479159,0.0383854524971607
